,Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
485266,485267,B001RVFERK,A3EPAMKME1UAXZ,SLA,1,1,5,1282521600,Yum!!!!,"I love these chips. I am on the subscribe and save and get a case every two months, but have to order more often because i eat a bag with my lunch every day. they are very tasty and great for a snack if you are on weight watchers! give them a try!"
485267,485268,B001RVFERK,A2I18AO597DSDI,"David Pearlman ""sound fanatic""",1,1,4,1280707200,A lower calorie alternative to standard chips: 120 calories/oz. A bit flavorless in native state but good when flavored,"The eternal dieter's quest: A replacement for oily, fatty, and oh-so-addictive real potato chips. Sure, you can get the baked versions, but they lack a bit in both the crunch and flavor categories. And they cost a lot.<br /><br />So the quest continues. I got a case of these PopChips, cheddar flavor, through Amazon, inspired by a good sale and thoughts of ""there must be something better"".<br /><br />The first thing I noticed was the calorie count: A substantial 3oz bag of these chips (a lunch bag is 1oz) has only 360 calories (120 calories per ""serving""), of which 35 are fat calories. Those are better numbers than tradition potato chips, which run around 160 calories for a 1oz serving, and which get 80-90 of those calories from fat. (Calorie counts can vary dramatically upward depending on the chips, but these numbers are typical). Better--and this is where the calories don't tell the whole story--a 1 oz serving feels larger, because these PopChips are puffed larger.<br /><br />But don't let that word ""puff"" scare you. They DO have a major non puffy tasting solid crunch to them. The flavor is also pretty good and the best part: Look Ma, no orange crap on my hands! That's a big plus for a cheddar flavored chip...Take that Cheetos!<br /><br />I liked the cheddar ones so much, I ordered the BBQ ones as well, and they're even better tasting (IMHO).<br /><br />One thing to note: These are low(er) fat, low(er) calories, but not low sodium. A 1oz portion has 290mg of sodium (12% of the recommended daily intake for a normal person). If you are on a salt restricted diet, or if you don't like salt, think twice...<br /><br />On the whole, these are good, tasty, and most importantly, satisfying, while at the same time less caloric (and much less fatty) than standard potato chips. They are saltier than many would prefer, but presuming you are not on a salt restricted diet, they'll be OK. As a bonus, they are supposed ""all natural"". Personally, I don't care about that last point, but it's certainly not a bad thing!<br /><br />One last thing: You will find some diets that claim it's not the calories, it's the source of the calories. Hogwash. It IS the calories. No chip is diet worthy in big quantities. Consider the calories and  your total caloric intake, and make the personal decision whether these make sense.<br /><br />Try them yourself...Amazon offers a sampler package with multiple varieties, and that might be the best way to sample them."
485268,485269,B001RVFERK,A37L02WUJKP8QK,"D. Hendren ""Grammy02456710""",1,1,5,1279497600,Super Yummy,I love these chips! They are lower in fat but better in taste that most other chips. The price is right too at the case price.
485269,485270,B001RVFERK,AXCV06BLF17RZ,Jill,1,1,5,1277596800,These are great!,"I had never seen these chips before so I ordered the cheddar and sour cream and onion.  They were on special and it was a great value.  I love the individual bags, and the cheddar are my favorite.  They are definitely better than baked chips.<br /><br />After I bought these I saw the larger bags at Stop and Shop, but I will keep getting the individual size from Amazon."
485270,485271,B001RVFERK,A10VDLEO35I25F,"ferrethouse ""ferrethouse""",1,1,5,1277424000,Popchips,"Love the Popchips.  Less calories then regular chips, so you can eat more.  Cheddar kinda tastes like a white cheddar to me."
485271,485272,B001RVFERK,A1X0XLQUVQYEA1,Heather Hawk,1,1,5,1277251200,PopChips are the best!,"As a Weight Watcher, PopChips really satisfy that need for chips with a sandwich for low points and good taste.  I also love the single serve bags for portion control."
485272,485273,B001RVFERK,A34TOR2YU15I7W,"Susan J. Henry ""cyclist""",1,1,4,1277164800,Delicious!,BBQ Pop Chips are a delicious tasting healthier chip than many on the market.  They are light and full of flavor.  The 3 oz bags are a great size to have. I would recommend them to anyone.
485273,485274,B001RVFERK,A3UGP58DZSNPIY,David G. Young,1,1,5,1277164800,snack food lover,This chip taste great.  If you're watching your weight you can't beat the calorie count for a bag.  Great low calorie snack food that I have to hide from my 16 year old son because he can eat a case in about three days!
485274,485275,B001RVFERK,A1LSLFFPMMLG6V,D. Chung,1,1,4,1276128000,Good chips with an occasional bad aftertaste,"These chips are good. Knowing that they're not as bad for you will make you eat more of them - very dangerous. Most of the time, the chips tasted quite good, but every now and then I'd get one with this somewhat bitter aftertaste that wasn't very pleasant. Besides that, I would definitely buy these again."
485275,485276,B001RVFERK,A2LJJ4482V9LAW,SunnyBeachLife,1,1,5,1275696000,"Best flavor, hands down of Popchips is barbeque!!","I bought a multi-box of flavors but this was the absolute best flavor (IMHO) in there so it's the one I'll comment on.  Spicy, sweet, flavorful, fun, crispy, lower fat than chips, I loved it.  I'll be buying more but only of this flavor.  The other flavors weren't so great (salt & pepper and cheddar aren't too bad) but this one rocked."
485276,485277,B001RVFERK,AI2MRYH16GQ6Z,"O. Lee ""We love because he first loved us""",1,1,4,1274572800,BBQ- Tasty...but wish it was less salty.,"I got BBQ Popchips (3 oz- 12) during Amazon promotion, and the price came down to $14. These taste good, I just wish it was less salty. I would certainly purchase them if they came out with less salty version."
485277,485278,B001RVFERK,ASIMCC20UVK58,R Shackleford,1,1,5,1274400000,Great Chips Less Fat,"I eat chips almost every day and decided I wanted to find something that tastes as good but is lighter on unnecessary fat than regular types of chips. I bought a case of Popchips BBQ. These are satisfying and taste great. They don't taste exactly like any full fat chip products I've had mainly because they're not greasy at all, but they have a nice BBQ potato chip flavor. These are thick, crunchy, and light. I first bought the .8 oz bags and this serving size is on the small side for me with lunch (would probably be alright for a snack). 3 of the .8 oz bags works for me which of course bumps up the fat intake, but considering the same volume of ""regular"" chips has much more fat it is a significant fat decrease overall which is what I was looking for. I find the 3 ounce bags to be perfect. Even eating all 3 ounces works out to significantly less fat and calories than eating the same volume of other chips. This makes Popchips very satisfying to me, and I have bought many cases through Amazon.<br /><br />Heads up (mid-2011): Unfortunately the price has gone up significantly for these chips through Amazon, causing me to cancel my subscribe & save subscriptions. Popchips have popped up in local stores for significantly less per ounce. I love the convenience of the portioned bags and subscription but it's hard to justify paying double for the same product.<br /><br />The flavors are pretty straight forward but here's my thoughts...<br />Original flavor: Tastes like a plain potato chip minus the grease. Not my favorite flavor, but good for what it is. This flavor would probably be good with some kind of dip.<br />Chedder: Cheddar quickly became tied with BBQ for my favorite. Like BBQ the cheddar flavor is very strong. Great chips.<br />Salt & Pepper: Very strong pepper. To enjoy these you have to really like pepper. I like them, but they're not a favorite.<br />Sea Salt & Vinegar: I'm not a fan of vinegar, but strangely I enjoy this flavor. They're indeed salty with a fairly strong vinegar flavor."
485278,485279,B001RVFERK,ACLXVZB7Y2YVK,Julie A. Manor,1,1,5,1274313600,Super Good!!,"These are my favorite of all the popchips I have had so far.  I can't find them in stores, so I order them, and you should too!!"
485279,485280,B001RVFERK,A1E8EJBUPY3ZAC,D. Pratt,1,1,5,1273276800,PopChips have ruined other chips for me!,"I &lt;3 Popchips...maybe a little TOO much!  I was devastated when COSTCO stopped selling them, but that subsided once I found them by the case on Amazon.com.  I have subscription of 1 box per month and often contemplate increasing that order.<br /><br />BBQ is the BEST!"
485280,485281,B001RVFERK,A3MGT5S849R28T,K. Putnam,1,1,5,1273017600,"Best ""healthy"" salt and vinegar chip out there","I am always on the hunt for a good lower fat salt and vinegar chip and I have to say, it is a very hard thing to find! I actually wrote to Pringles once and asked if they had any plans to make a reduced fat salt and vinegar chip...to my disappointment, they said no. For whatever reason, the big label brands (Lays, Pringles, etc.) have not made a reduced fat or baked salt and vinegar chip. I have no idea why - salt and vinegar chip lovers are very devoted to their favorite flavor (as illustrated by me actually desperately writing to Pringles!). Anyway, I gave this brand a try and I am really happy with it. It has a nice strong flavor and a light crispy crunch. It have tried the Salt and Vinegar Pirate's Booty, which was ok, but more like a cheese puff and the flavor was a little strange. I have tried a couple baked salt and vinegar chips from small brands and they were all disgusting in flavor and texture. This is the only way to go that I have found so far. I would recommend it.<br /><br />Yes, I know, I appear to be obsessed with S&V chips...it is a little scary."
485281,485282,B001RVFERK,A33UWPTRAU4W3C,Edwin Burnett,1,1,5,1272672000,WOW! THIS IS LO-CAL?!?,"THESE CHIPS HAVE A VERY UNIQUE CRUNCH, AND ARE VERY TASTY. I NOW BUY THE VARIETY PACKS BECAUSE I LIKE ALL 6 FLAVORS. THE SINGLE SERVE BAGS YIELD 1 POINT, PER MY WEIGHTWATCHER AFFICIANADO WIFE."
485282,485283,B001RVFERK,A33GQBSE33361T,Pixiedust,1,1,3,1272585600,"good taste, a little too salty","These chips are unusual and they do ""grow"" on you. The taste is most like shoestring potatoes, of which I am boderline addicted. I would order these again, but they are just too salty for my taste. I ordered the plain, so I don't know if the other flavors are also salty."
485283,485284,B001RVFERK,A18G81WS4Q6MK2,Catherine Ward,1,1,5,1272585600,nice 100-calorie snack,"These are very delicious, not quite the standard potato chip and not quite popcorn.  The kind I tried, salt/pepper, only only 100 calories per serving, little fat (no trans/saturated fat), and less sodium that I expected, about 10% of your daily value.<br /><br />If you like chips, you'll probably like these.  A little different, but also familiar.  Worth a try."
485284,485285,B001RVFERK,A1V7ZYRVRGT9F5,"C. Gallamore ""Weight Watcher Winner""",1,1,5,1271376000,Awesome,These Pop Chips are incredible. They taste so much better than baked chips and the quantity you get for 2 points is so much more. I buy the variety case and love them all!
485285,485286,B001RVFERK,A27DYCAP844HOK,"B. Greer ""Flo Gro""",1,1,4,1271203200,Love 'em,"I love these salt and pepper flavored Popchips.  The bag size is perfect for a snack.  I love them in the afternoon when I get home from work, or at lunch with a sandwich.  Of course since they are ""salt and pepper"", there's a lot of salt.  I have to watch my sodium intake and it limits the number of bags I can eat.  Also, I would like to see the salt and pepper flavor included in the variety box instead of the vinegar, which I don't like at all.  Tastes too strong of vinegar.  Would be great for someone who absolutely loves vinegar.  It would also be nice if you could create your own variety box with the flavors you most prefer.  It does get a little boring eating 24 bags the same flavor."
485286,485287,B001RVFERK,A3FF3R1V94EPN4,troys98,1,1,5,1271203200,Pop Chips are awesome,Taste is similar to regular potato chips but without the guilt of eating something so bad for you.  They make a great snack.  Bags are a little lite but if you eat a couple of bags it should satisfy.
485287,485288,B001RVFERK,A2MG3HG6VSII0O,S. Bradford,1,1,5,1271030400,DELISH!!,"These chips are absolutely incredible!!!  They are so good and so flavorful!!  My favorite is the barbecue flavor!  The best part, they are ALL NATURAL!! Definitely will purchase these again!!!"
485288,485289,B001RVFERK,AGKJOW98X5KGB,Mommy of one almost-perfect boy,1,1,5,1270166400,Delicious.,"Wow, I'm impressed. These are delicious. They cure your carb cravings and are much better for you than traditional carb-binging snacks!"
485289,485290,B001RVFERK,A39YC26934SAG9,Glenn M. Mehalek,1,1,5,1269302400,Most delicious chips ever!,"I have gained weight *not telling you how much* over the months and am putting myself on a diet. These chips have saved me from gorging on the bad stuff becaue of their taste. This product is not only healthy, but it actually tastes the best out of all of my other possible options. Frito Lay is the thing of the past, because Pop Chips are in! I strongly recommend this to anybody trying to maintain or lose weight, because with snacks like this, you can keep the love handles off! Thank you, Pop Chips for a successful diet! Go to [...] for any more info on how they are made."
485290,485291,B001RVFERK,A2GSNLOLNOZWMM,Bud,1,1,4,1269216000,Great for those watching their weight,"These chips are tasty, crunchy, and best of all, they are reduced in calories and fat.  I think for about half or so of the calories etc of a regular bag of chips you get all of the taste of regular potato chips."
485291,485292,B001RVFERK,A1PZO2HQFTLHC7,Mary L. Runnion,1,1,5,1269043200,Pop Chips Original Chips,"These are the best chips I have eaten. They are popped instead of fried or baked which makes them easier on the weight column.<br /><br />Love them, love them."
485292,485293,B001RVFERK,A2WNWQQX8Q3JEG,Sanjay Srivastava,1,1,3,1269043200,Too salty...,"I love the taste of pop-chips but, I think it is a little too salty. The manufacturer for some reason decided that it looked,tasted too healthy and decided to add extra salt to appeal to a broad audience.<br />I think they woul've been better served keeping the salt content low.<br /><br />I would recommend the barbecue flavor which doesn't suffer from the same problem. the worst I think is the sour-cream (or something like that) flavor. This one is ok."
485293,485294,B001RVFERK,A215WH6RUDUCMP,Shilom,1,1,5,1268438400,Tasty!,"We all have our vices, mine has always been chips.  Specifically, Bettermade BBQ chips, so as I'm trying to eat healthier I've tried to find a replacement for that craving.  I decided to give the popchips a try, thinking if they were at least okay I could replace my cravings for them.  They are better than okay!  These little guys are full of flavor and crunch!  And not to sound like a pig, but I could eat a half a bag of Bettermade in one sitting, but these little 8 oz bags, even though they are small, they fill me up!  I was shocked!  I am not kidding, I am eating healthier, giving in to my craving, and getting full from one small bag.  You cannot go wrong with these, even my kids love them!  I am thrilled to have found a healthy alternative to fatty chips!"
485294,485295,B001RVFERK,AFTG2156EB5S7,"Patrick Murphy ""maverick""",1,1,5,1268092800,Pop Chips,"These are great chips. Came in one box, and we have been working our way through them. Fresh, and the 3 oz. bags are a great size."
485295,485296,B001RVFERK,A2YB7DLC3FOR7W,"Pamela V ""&#34;MS V&#34;""",1,1,5,1266451200,Addictive!,"I purchased the variety pack based on other reviews and was quite pleased.  I am pretty choosy about snacks and food in general, and these crunchy, tasty, chips exceeded my expectations.<br /><br />I especially enjoyed the cheese flavor.  I would order these again."
485296,485297,B001RVFERK,A2CXLQXPUJRRMX,David DelPozzi,1,1,5,1266364800,"Best BBQ chip on the market today, they POP with flavor!","I just love these chips! The BBQ are by far my Favorite. The BBQ flavor is a little sweet with a hint of smokiness, very addictive. They are light and as far as junk food goes they are healthy..'er than your regular chip. They do not leave your fingers greasy or any oily / greasy feel or taste in your mouth. That is because they are hot air popped and not fried. I almost ate the whole bag on my first taste; by the way it was the huge Costco size bag, twice the size of their large bags. With in two days I was back at Costco to by another bag. Like I said I just love these chips!"
485297,485298,B001RVFERK,A25IYR6TECWEBT,B. Brazel,1,1,5,1265760000,L O V E these chips,"Can not find them locally yet. Much better than baked!! Only 100 calories per bag. Get the variety pack so you can decide which you like best. I think the vinegar salt, sour cream onion, and the barb-q are the best. Shipping is very fast."
485298,485299,B001RVFERK,A23A0ERHVM4HS6,Stingaree,1,1,5,1265760000,Add me as another convert to these chips!,"After reading the reviews I decided to take advantage of the special Amazon was offering.  Wow!  Excellent chip and of course you can enjoy it more knowing it has no cholesterol or saturated fat.  Fortunately the bags are small which helps you control your calorie intake.  But, they are highly addictive.  I have only tried the regular, but I will definitely be ordering some of the other flavors later on.  I recommend that every one try them, although at regular price they are quite expensive."
485299,485300,B001RVFERK,A368F99UPGPP4R,L. Eckford,1,1,2,1264550400,Not my favorite,"I love Popchips. However, I did not like this flavor at all. The garlic flavor was too intense."
485300,485301,B001RVFERK,A31Q59TUS9T6H0,Marla Brugger,1,1,5,1264291200,AMAZING!,"Can't believe they are only 100 calories a bag and pack so much flavor! Tried them in NYC last week and of course can't find them where I live but thanks to Amazon.com I can get them whenever I want and at a great price too! The single bags were selling in NYC for $1.29 to $1.50 a bag. It's a lot cheaper buying the 24 pack here!<br />Looking forward to trying the other flavors, but so far Salt & Pepper are my favorite!"
485301,485302,B001RVFERK,A3UNPDOS40TSF1,Hoolia,1,1,3,1260921600,Not as good as BBQ,I tried the BBQ first and was pleasantly surprised.<br /><br />I have always had a weakness for Sour Cream & Onion so figured it would be heaven in the popchips calorie sized bags..<br /><br />And it arrived and just didn't have the same 'tang' as most SC&O flavors do.
485302,485303,B001RVFERK,ARWIOUASZIL1X,Michele,1,1,5,1260316800,Love them!,"These are the best chips ever!  The BBQ ones are on the spicy side, which I really like.  I used to think baked chips were good until I tried Pop Chips.  There is no comparison!  The baked chips are thin, flat and tasteless next to these.  If you want a chip you can really sink your teeth into you will not be disappointed!"
485303,485304,B001RVFERK,A17V9XL4CWTQ6G,Chandler,1,1,5,1259712000,"All-Natural, Now only 100 calories!, No ""diet"" taste...all good!","1. All natural. Nothing artificial in 'em. No artificial colors or flavors<br />2. Low calories for a lot o' chips<br />3. Uber addictive taste-wise<br /><br />What more needs to be said? I'll be the first to admit, in spite of my being a weight loss coach in the evenings; I am not a big fan of diet food. I am a foodie. I love good food...love to cook it, love to eat it. Yet these, to me, are totally addictive. No fake diet food taste, tons of flavor. In fact, I HAVE to get them in the small bags or I will eat a whole large bag...it's one of those. Hickory, salty, hint of sweetness.<br /><br />They aren't fried or fake baked to taste fried.  They use a pressure cooker and the potatoes pop into a chip according to the bag.<br /><br />I got the automatic shipment of them from Amazon because it reduces the price by 15%and if I get 2 per month it allows for free shipping and, with the no tax, I can't get them in the stores that cheap and they are delivered automatically to my door this way.<br /><br />Also, these have a lot less salt than the old chips I used to eat...but they don't taste like its missing<br /><br />Negatives: These are still hard to find in some grocery stores."
485304,485305,B001RVFERK,A335ZX9N3UWHX4,"C. Rhodes ""NewLadyinFl""",1,1,5,1254096000,DELICIOUS and ADDICTIVE,Everyone who tries them ends up eating the entire bag.  We ordered two cases of 12 in bbq and garlic parm and they were gone in two weeks.  Between guests and midnite snacking there are two garlic parms left.  Ordering more today!
485305,485306,B001RVFERK,A1LTNRGWZFY4C9,GROUCHHUNTER,1,1,5,1253232000,LOVE THE POPCHIPS!,I am totally addicted to the POPCHIPS!  They are very good and don't taste greasy at all.  One bag has a lot of chips in them and can be filling.  They are only 100 calories and around 3 grams of fat and they don't taste like you are eating something healthy for you.  I love Cheetos and can't have them anymore and now love these chips.  The flavoring is not very strong but strong enough.
485306,485307,B001RVFERK,A10PY7J8JMTP7Q,eBookworm,1,1,5,1249603200,"""Un-sinfully"" Lip Smackin' Good","Love these pop-chips.  I've tried some other flavors too but found salt and pepper the best so far.  Original comes a close second for me.  Salt and vinegar is a very close third. Garlic is too strong for me (I love garlic in other forms though).<br /><br />I was hesitant to try these initially because I'm not a big fan of pepper flavor in chips, but am I glad I did!  The pepper flavor rounds up the chip rather than defines it, so it doesn't feel like you're eating pepper in it's raw form.<br /><br />It's a good thing the fat content is low because these are quite addictive."
485307,485308,B001RVFERK,A25W349EE97NBK,Tangent4,1,1,4,1248307200,I wanted to love these...,"I originally bought these chips because I'd heard great things about the company and their customer service, but I was a bit underwhelmed with the taste of the product.<br /><br />Pro:<br />- lower-calorie, baked-not-fried: this is definitely a huge plus!<br /><br />Con:<br />- I was expecting something more potato-ey. Instead of being made with potato bits or mashed-up potatoes,  it's mainly potato flour and starch. Therefore, the potato flavor is lackluster to non-existent. They're more of a delivery method for the flavoring than a tribute to the great potato.<br />- The salt and vinegar flavor wasn't as strong as I'd hoped, especially since more salt and vinegar wouldn't really increase the calorie count very much. Also, because the underlying ""chip"" was kind of bland, more flavor would have been beneficial.<br /><br />Overall - a great snack alternative to chips. I would recommend it for anyone who loves snacks with the texture of cheetos and those puffy rice crackers. If you're looking for something with potato flavor as well as salt and vinegar, you might want to look elsewhere."
485308,485309,B001RVFERK,ABAQQJUP40VQX,"L. Harding ""gimme salt and pepper popchips""",1,1,4,1245456000,"Great product, too bad I wasn't sent the correct kind.","These chips are excellent! They stopped carrying them at my local Costco, but I was so happy to find them here!<br /><br />I guess they ran out of the plain kind because it said they were available when I ordered them... they are listed on my order sheet and Amazon invoice as ""Original""... and lo and behold, I received ""Sea Salt and Vinegar"", not ""Original"".<br /><br />Still a good product, but wish I had a courtesy e-mail or something to tell me they ran out of ""Original"". I'm not a huge fan of salt/vinegar chips, but at least it keeps me from eating them quickly (it lets me nibble)."
485309,485310,B001RVFERK,ANDLI8KLNE2DK,"Shannon ""what it takes""",1,1,5,1243900800,My husband takes them to work every day,After my husband tried these chips (BBQ flavor) at a lunch meeting he couldn't stop talking about them.  We found them at a local grocery store - but they were on the expensive side.  Luckily we found them on Amazon at a much more reasonable price.  Thanks for carrying the brand.
485310,485311,B001RVFERK,A2TCY4Q5S0NO5Z,"Mira L. Shanks ""F.R.O.G.""",1,1,5,1242259200,yummy and low fat,"Discovered these at M.O.M.'s (My Organic Market) in Maryland. They came in large bags and the taste and texture really grew on me, so I checkd on Amazon and voila, small bags, bought a case, I am a happy camper!"
485311,485312,B001RVFERK,A1KKUMD9Z4FCD5,Dave,1,1,5,1241136000,I love these chips,"I first tried them at Jamba Juice and have been hooked ever since.  They're light, very tasty, and have good nutrition specs as chips go.  I prefer the BBQ to the other flavors but salt and vinegar are my 2nd pick."
485312,485313,B001RVFERK,A3SA5R18B3G13R,"Chip Lover ""Enjoy""",1,1,5,1240876800,Good & Healthy,"It is always a challenge to find healthy, delicious food.  While Popchips is a snack food, most all of us still enjoy chips.  That being the case, I have not found any better chip in my years of search that has such good taste and health considerations.  I offer them to people who eat the heavy saturated chips, and they love the Popchips."
485313,485314,B001RVFERK,A39LJ3P2XJC8ZP,Tuesday Jo,1,1,5,1231545600,These contain a fair amount of SOY...if you have a sensitivity...,"Popchips Original Potato Chips are dee-lish.  But BEWARE of the SOY in them if you have a soy sensitivity, like I do.  I ate quite a few and had a bad reaction before reading the label and realizing that soy was an ingredient.  I just never imagined soy would be in a potato chip!  I learned my lesson!  My kids love the chips and, I agree, they are YUMMY!  I'm sad that I can't have them!  :-("
485314,485315,B001RVFERK,A1QXI1ZG79S8NS,"Priscilla Palmer ""miss_pris""",1,1,5,1225584000,Salt & Pepper Popchips - I crave these!,"If you like hot peppery spicey food (and drink), you will like these.  I get a craving for them.  Of course, I like to drink Habanero Margaritas -- yes, there is such a thing! -- so you may prefer to order the Popchips variety case first (you'll get 3 packages of these in the case) to see how your taste buds react."
485315,485316,B001RVFERK,A3GQ47O4TP4TWY,flygirl,1,1,5,1224892800,"THE BEST CHIPS, EVER!!!","I first sampled these chips at a volleyball tournament in California.  I'm a big chip lover, and these are by far the best chips I've ever had.  Better than the baked; not greasy at all, sturdy for dips.  I highly recommend these chips to any chip lover!  (I've not purchased them from Amazon, so I don't know how they will fare during shipping.)"
485316,485317,B001RVFERK,A38XFVFJS7RD5Q,Gator Girl,1,1,5,1224892800,Popchips,"I am doing Weight Watchers, but there are certain foods I did not want to give up.  One was potato chips.  I love the Popchips and they do taste like potato chips unlike other products I have tried.  One serving is 3 points on the WW point system and you can have 18-22 chips, depending on the flavor you choose.  Very good!"
485317,485318,B001RVFERK,AXXWXM6K66YMZ,immelbatoast,1,1,5,1224288000,Great and Healthy,"I love Salt & Vinegar chips and once I went on my diet I felt like I had to give them up because it's so hard to find healthy ones.  Then I finally found these and I love them!  They're strong tasting and I actually like them better than regular salt & vinegar chips.  They're less oily and I don't feel sick or guilty after having some.  The one-ounce bags are perfect for a snack, but the 3.25 ounce bags end up being cheaper so I divide it up into 3 ziplock bags once I open them.  It works great!"
485318,485319,B001RVFERK,AKWMKTC8FC1A5,poppy,1,1,5,1212192000,CHIPS TO DIE FOR,"THESE CHIPS AR FANTASTIC.  I GOT THE VARIETY PACK, AND EVERY FLAVOR WAS GREAT.  GREAT HEALTHY CHIPS, IF YOU CAN IMAGINE THOSE TWO WORDS TOGETHER. HEALTHY - CHIPS!!!  IF YOU ARE GOING TO EAT CHIPS, THESE ARE THE BEST CHOICE.  THE TASTE, I CAN NOT SAY ENOUGH TO EXPRESS JUST HOW GOOD THESE ARE.  POPCHIPS WILL ALWAYS BE MY CHIPS OF CHOICE!!!"
485319,485320,B001RVFERK,A3QDB4O188ARFL,Sharon A. Alvarez,3,4,5,1238112000,These are WONDERFUL!,These chips are so good!  Feel like I'm eating real potato chips ... what flavor ... I love all of them!
485320,485321,B001RVFERK,A14ENWEKTHCBXR,"R. L. Miles ""Miles""",2,3,2,1327363200,Disappointing,"I was really hoping to get a really great nutritious & delicious snack for my family when I ordered this product.  I was really disappointed.<br /><br />The packaging is really good looking and I had high hopes, so when I opened the package to my chips, I expected something great.  I ordered the Chili Lime flavor and, since, I have had higher-fat chili lime chips in the past, I'd knew that I would love them.<br />First, they don't really look like what they appear to be on the packaging (no big deal though).<br />I took a bite out of the first chip and it had a really funny texture and strange flavor.  So, I looked on the back where it showed the ingredients and I was pretty surprised--it had a LOT of chemicals in the product.  Also, AND THIS REALLY FREAKED ME OUT, the main ingredient is not a sliced potato, but, ""potato ingredients (potato flakes, potato starch)"".  In other words, it's made of instant mashed potatoes!<br /><br />I thought the taste was funny and the ingredients curious.  However, there are no transfats or saturated fats in the chips (that's why I gave it 2-stars).<br /><br />All in all, I would rather pack my kids lunches with a bag of Lay's or Kettle chips than give them these chips.<br /><br />All The Best."
